ref;value;footprint;Campo1;Campo2;Campo3;Campo4;Campo5;Campo6;Campo7;Campo8
C1;18 p;~;;;;;;;;
C2;18 p;~;;;;;;;;
C3;1u;~;;;;;;;;
C4;100n;~;;;;;;;;
C5;100n;~;;;;;;;;
C6;1u;~;;;;;;;;
C7;100n;~;;;;;;;;
C8;100n;~;;;;;;;;
C9;100n;~;;;;;;;;
C10;6.8p;~;;;;;;;;
C11;100n;~;;;;;;;;
C12;6.8p;~;;;;;;;;
C13;1u;~;;;;;;;;
C14;10u;~;;;;;;;;
C15;10u;~;;;;;;;;
C16;10u;~;;;;;;;;
C17;100n;~;;;;;;;;
C18;100n;~;;;;;;;;
C29;100n;~;;;;;;;;
C32;4u7;~;;;;;;;;
CON1;SWD;;;;;;;;;
D1;DIODE;~;;;;;;;;
D10;LED;~;;;;;;;;
D11;LED;~;;;;;;;;
D12;LED;~;;;;;;;;
D13;LED;~;;;;;;;;
IC1;LD1117S33;~;;;;;;;;
J1;DB9;;;;;;;;;
J2;DB9;;;;;;;;;
JP1;JUMPER;~;;;;;;;;
L1;fcm1608;~;;;;;;;;
R1;0;~;;;;;;;;
R2;0;~;;;;;;;;
R3;47;~;;;;;;;;
R4;10k;~;;;;;;;;
R5;510;~;;;;;;;;
R6;0;~;;;;;;;;
R7;0;~;;;;;;;;
R8;120;~;;;;;;;;
R9;0;~;;;;;;;;
R10;120;~;;;;;;;;
R11;0;~;;;;;;;;
R12;0;~;;;;;;;;
R13;0;~;;;;;;;;
R14;0;~;;;;;;;;
R15;0;~;;;;;;;;
R35;510;~;;;;;;;;
R36;510;~;;;;;;;;
R37;680;~;;;;;;;;
R38;680;~;;;;;;;;
SW2;SW_PUSH;~;;;;;;;;
U1;STM32F105R8;~;;;;;;;;
U2;ARDUINO_UNO_REDUCED;~;;;;;;;;
U3;SN65HVD232;;;;;;;;;
U4;SN65HVD232;;;;;;;;;
X1;8 MHz;~;;;;;;;;
X2;32.768 kHz;~;;;;;;;;
